timestamp,platform,address_id,address,zone,lat,lng,product,price,available,delivery_fee,service_fee,eta_min,promotions
2026-04-05T22:19:39.912866,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Big Mac,115.54,True,21.8,4.95,33.0,
2026-04-05T22:19:50.828711,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Coca-Cola 500ml,41.96,True,21.8,4.95,33.0,
2026-04-05T22:20:01.737533,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Combo Mediano,155.01,True,21.8,4.95,33.0,
2026-04-05T22:20:01.738532,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Big Mac,113.2,True,18.79,4.95,32.0,
2026-04-05T22:20:01.739532,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Coca-Cola 500ml,40.98,True,18.79,4.95,32.0,
2026-04-05T22:20:01.740533,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Combo Mediano,158.04,True,18.79,4.95,32.0,
2026-04-05T22:20:01.741532,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Big Mac,116.6,True,19.62,4.95,28.0,Rappi Turbo: entrega en 15 min
2026-04-05T22:20:01.741532,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Coca-Cola 500ml,41.08,True,19.62,4.95,28.0,Rappi Turbo: entrega en 15 min
2026-04-05T22:20:01.743532,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Combo Mediano,163.78,True,19.62,4.95,28.0,Rappi Turbo: entrega en 15 min
2026-04-05T22:20:01.744535,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Big Mac,121.17,True,19.55,4.95,24.0,20% off con RappiPay
2026-04-05T22:20:01.746535,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Coca-Cola 500ml,42.33,True,19.55,4.95,24.0,20% off con RappiPay
2026-04-05T22:20:01.747535,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Combo Mediano,160.38,True,19.55,4.95,24.0,20% off con RappiPay
2026-04-05T22:20:01.749534,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Big Mac,118.46,True,18.54,4.95,32.0,
2026-04-05T22:20:01.753536,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Coca-Cola 500ml,43.06,True,18.54,4.95,32.0,
2026-04-05T22:20:01.755540,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Combo Mediano,158.57,True,18.54,4.95,32.0,
2026-04-05T22:20:01.756534,rappi,condesa_tamaulipas,"Av. Tamaulipas 66, Condesa, CDMX",medio_alto,19.4116,-99.1742,Big Mac,109.19,True,22.42,4.95,25.0,20% off con RappiPay
