timestamp,platform,address_id,address,zone,lat,lng,product,price,available,delivery_fee,service_fee,eta_min,promotions,total_cost
2026-04-05T22:44:32.027677,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Big Mac,121.16,True,22.29,4.95,31.0,,148.39999999999998
2026-04-05T22:44:42.965552,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Coca-Cola 500ml,40.52,True,22.29,4.95,31.0,,67.76
2026-04-05T22:44:53.857440,rappi,polanco_masaryk,"Av. Presidente Masaryk 111, Polanco, CDMX",premium,19.4326,-99.1999,Combo Mediano,158.97,True,22.29,4.95,31.0,,186.20999999999998
2026-04-05T22:44:53.859443,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Big Mac,119.59,True,17.92,4.95,26.0,15% de descuento en combos,142.45999999999998
2026-04-05T22:44:53.861443,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Coca-Cola 500ml,42.14,True,17.92,4.95,26.0,15% de descuento en combos,65.01
2026-04-05T22:44:53.863442,rappi,polanco_ejercito,"Ejercito Nacional 843, Polanco, CDMX",premium,19.436,-99.204,Combo Mediano,165.3,True,17.92,4.95,26.0,15% de descuento en combos,188.17000000000002
2026-04-05T22:44:53.865448,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Big Mac,115.19,True,19.34,4.95,22.0,,139.48
2026-04-05T22:44:53.868441,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Coca-Cola 500ml,42.56,True,19.34,4.95,22.0,,66.85000000000001
2026-04-05T22:44:53.870441,rappi,lomas_reforma,"Paseo de la Reforma 2608, Lomas Chapultepec, CDMX",premium,19.4334,-99.2239,Combo Mediano,159.26,True,19.34,4.95,22.0,,183.54999999999998
2026-04-05T22:44:53.872446,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Big Mac,120.54,True,20.97,4.95,33.0,,146.45999999999998
2026-04-05T22:44:53.874441,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Coca-Cola 500ml,42.56,True,20.97,4.95,33.0,,68.48
2026-04-05T22:44:53.877443,rappi,santa_fe_perisur,"Av. Vasco de Quiroga 3800, Santa Fe, CDMX",premium,19.3588,-99.2595,Combo Mediano,160.22,True,20.97,4.95,33.0,,186.14
2026-04-05T22:44:53.879446,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Big Mac,119.89,True,20.87,4.95,25.0,15% de descuento en combos,145.70999999999998
2026-04-05T22:44:53.882444,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Coca-Cola 500ml,43.33,True,20.87,4.95,25.0,15% de descuento en combos,69.15
2026-04-05T22:44:53.884443,rappi,interlomas,"Av. San Mateo 233, Interlomas, Huixquilucan",premium,19.413,-99.276,Combo Mediano,159.05,True,20.87,4.95,25.0,15% de descuento en combos,184.87
2026-04-05T22:44:53.885446,rappi,condesa_tamaulipas,"Av. Tamaulipas 66, Condesa, CDMX",medio_alto,19.4116,-99.1742,Big Mac,114.32,True,25.1,4.95,33.0,,144.36999999999998
2026-04-05T22:44:53.887445,rappi,condesa_tamaulipas,"Av. Tamaulipas 66, Condesa, CDMX",medio_alto,19.4116,-99.1742,Coca-Cola 500ml,40.44,True,25.1,4.95,33.0,,70.49
2026-04-05T22:44:53.889446,rappi,condesa_tamaulipas,"Av. Tamaulipas 66, Condesa, CDMX",medio_alto,19.4116,-99.1742,Combo Mediano,150.15,True,25.1,4.95,33.0,,180.2
2026-04-05T22:44:53.892445,rappi,roma_norte,"Álvaro Obregón 127, Roma Norte, CDMX",medio_alto,19.4192,-99.1606,Big Mac,109.86,True,26.55,4.95,30.0,20% off con RappiPay,141.35999999999999
2026-04-05T22:44:53.893443,rappi,roma_norte,"Álvaro Obregón 127, Roma Norte, CDMX",medio_alto,19.4192,-99.1606,Coca-Cola 500ml,39.15,True,26.55,4.95,30.0,20% off con RappiPay,70.65
